"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Apr 10 13:32:48 MSK 2024","Wed Apr 10 13:32:52 MSK 2024","4191","batch-1","Task_5","","","","Log in as Locked User",""
"passed","Wed Apr 10 13:32:33 MSK 2024","Wed Apr 10 13:32:48 MSK 2024","14353","batch-1","Task_5","","","","Navigate to the website homepage",""
